spp,region,n()
Atheresthes stomias,West Coast Triennial,3535
Aurelia,West Coast Annual,4584
Aurelia spp.,Gulf of Mexico,3089
Bagre marinus,Gulf of Mexico,3089
Bagre marinus,Southeast US Fall,2681
Bairdiella chrysoura,Gulf of Mexico,3089
Bairdiella chrysoura,Southeast US Fall,2681
Bairdiella chrysoura,Southeast US Spring,2562
Bairdiella chrysoura,Southeast US Summer,2807
Balanus spp.,Aleutian Islands,5474
Balanus spp.,Gulf of Alaska,10160
Balistes capriscus,Gulf of Mexico,3089
Bathyagonus nigripinnis,Aleutian Islands,5474
Bathyagonus nigripinnis,Gulf of Alaska,10160
Bathyagonus nigripinnis,West Coast Annual,4584
Bathyagonus pentacanthus,Gulf of Alaska,10160
Bathyagonus pentacanthus,West Coast Annual,4584
Bathymaster caeruleofasciatus,Aleutian Islands,5474
Bathymaster signatus,Aleutian Islands,5474
Bathymaster signatus,Eastern Bering Sea,13071
Bathymaster signatus,Gulf of Alaska,10160
Bathyplotes spp.,Aleutian Islands,5474
Bathyplotes spp.,Gulf of Alaska,10160
Bathyraja spp.,Aleutian Islands,5474
Bathyraja spp.,Eastern Bering Sea,13071
Bathyraja spp.,Gulf of Alaska,10160
Bathyraja spp.,West Coast Annual,4584
Bathyraja spp.,West Coast Triennial,3535
Bellator militaris,Gulf of Mexico,3089
Benthoctopus,West Coast Annual,4584
Benthoctopus leioderma,Gulf of Alaska,10160
Benthoctopus leioderma,West Coast Annual,4584
Beringius behringi,Eastern Bering Sea,13071
Beringius spp.,Aleutian Islands,5474
Beringius spp.,Eastern Bering Sea,13071
Beringraja binoculata,Aleutian Islands,5474
Beringraja binoculata,Gulf of Alaska,10160
Berryteuthis magister,Aleutian Islands,5474
Berryteuthis magister,Gulf of Alaska,10160
Bivalvia spp.,Eastern Bering Sea,13071
Bivalvia spp.,Gulf of Alaska,10160
Bolinia euryptera,Aleutian Islands,5474
Bollmannia communis,Gulf of Mexico,3089
Boltenia ovifera,Eastern Bering Sea,13071
Boltenia spp.,Eastern Bering Sea,13071
Boreogadus saida,Eastern Bering Sea,13071
Bothrocara pusillum,Gulf of Alaska,10160
Bothus,Gulf of Mexico,3089
Brachiopoda spp.,Gulf of Alaska,10160
Brachiopoda spp.,West Coast Annual,4584
Brachiopoda spp.,West Coast Triennial,3535
Bregmaceros atlanticus,Gulf of Mexico,3089
Brevoortia patronus,Gulf of Mexico,3089
Brevoortia smithi,Southeast US Fall,2681
Brevoortia smithi,Southeast US Spring,2562
Brevoortia tyrannus,Northeast US Spring,12479
Brevoortia tyrannus,Southeast US Fall,2681
Brevoortia tyrannus,Southeast US Spring,2562
Brevoortia tyrannus,Southeast US Summer,2807
Brisaster,West Coast Annual,4584
Brisaster latifrons,Gulf of Alaska,10160
Brisaster latifrons,West Coast Annual,4584
Brosme brosme,Northeast US Fall,12884
Brosme brosme,Northeast US Spring,12479
Brosme brosme,Scotian Shelf,8357
Brotula barbata,Gulf of Mexico,3089
Bryozoa spp.,Aleutian Islands,5474
Bryozoa spp.,Eastern Bering Sea,13071
Bryozoa spp.,Gulf of Alaska,10160
Bryozoichthys marjorius,Aleutian Islands,5474
Buccinum angulosum,Eastern Bering Sea,13071
Buccinum plectrum,Eastern Bering Sea,13071
Buccinum plectrum,Gulf of Alaska,10160
Buccinum polare,Eastern Bering Sea,13071
Buccinum scalariforme,Eastern Bering Sea,13071
Buccinum spp.,Aleutian Islands,5474
Buccinum spp.,Eastern Bering Sea,13071
Buccinum spp.,Gulf of Alaska,10160
Calamus arctifrons,Gulf of Mexico,3089
Calamus leucosteus,Gulf of Mexico,3089
Calamus nodosus,Gulf of Mexico,3089
Calamus penna,Gulf of Mexico,3089
Calamus proridens,Gulf of Mexico,3089
Calappa flammea,Gulf of Mexico,3089
Calappa flammea,Southeast US Summer,2807
Calappa sulcata,Gulf of Mexico,3089
Calinaticina oldroydii,West Coast Annual,4584
Callinectes ornatus,Southeast US Fall,2681
Callinectes ornatus,Southeast US Summer,2807
Callinectes sapidus,Gulf of Mexico,3089
Callinectes sapidus,Northeast US Fall,12884
Callinectes sapidus,Southeast US Fall,2681
Callinectes sapidus,Southeast US Spring,2562
Callinectes sapidus,Southeast US Summer,2807
Callinectes similis,Gulf of Mexico,3089
Callinectes similis,Southeast US Fall,2681
Callinectes similis,Southeast US Spring,2562
Callinectes similis,Southeast US Summer,2807
Cancer anthonyi,West Coast Annual,4584
Cancer borealis,Northeast US Fall,12884
Cancer borealis,Northeast US Spring,12479
Cancer irroratus,Northeast US Fall,12884
Cancer irroratus,Northeast US Spring,12479
Cancer irroratus,Southeast US Spring,2562
Cancer productus,West Coast Annual,4584
Cancer productus,West Coast Triennial,3535
Cantharus cancellarius,Gulf of Mexico,3089
Caranx crysos,Gulf of Mexico,3089
Caranx crysos,Northeast US Fall,12884
Caranx crysos,Southeast US Fall,2681
Caranx crysos,Southeast US Spring,2562
Caranx crysos,Southeast US Summer,2807
Caranx hippos,Southeast US Fall,2681
Caranx hippos,Southeast US Spring,2562
Carcharhinus acronotus,Gulf of Mexico,3089
